date,website,url,title,text,translated_title,translated_text,category,main_image
2023-12-09,prothomalo,https://www.prothomalo.com/bangladesh/capital/xnx1brj3dw,জলাশয় ভরাট করে টিস্যু কালচার ল্যাব নির্মাণ বন্ধের দাবি,রাজধানীর মিরপুরে জলাশয় ভরাট করে বাংলাদেশ কৃষি উন্নয়ন করপোরেশন (বিএডিসি) টিস্যু কালচার ল্যাব নির্মাণ।,Demand to stop construction of tissue culture labs by filling water reservoirs,Construction of Bangladesh Agricultural Development Corporation (BADC) tissue culture lab by filling water tank in Mirpur of the capital.,Health,https://images.prothomalo.com/prothomalo-bangla%2F2023-12%2F708efab9-dedb-4bb7-b909-8bca9dc3dcab%2FScreenshot_01122.jpg?rect=0%2C0%2C1495%2C785&w=1200&ar=40%3A21&auto=format%2Ccompress&ogImage=true&mode=crop&overlay=&overlay_position=bottom&overlay_width_pct=1
2023-12-09,prothomalo,https://www.prothomalo.com/world/middle-east/1rvpnx7tj7,গাজায় মানবিক যুদ্ধবিরতির প্রস্তাব আটকে দিল যুক্তরাষ্ট্র,ইসরায়েলের সবচেয়ে ঘনিষ্ঠ মিত্র যুক্তরাষ্ট্র। নিরাপত্তা পরিষদে আবারও ভেটো ক্ষমতা প্রয়োগ।,US blocks proposal for humanitarian ceasefire in Gaza,Israel's closest ally is the United States. The veto power is again exercised in the Security Council.,Business,https://images.prothomalo.com/prothomalo-bangla%2F2023-12%2F49dce543-acb1-4baf-b60c-7279a689a2e1%2F0b1700ad-fa9e-433d-bc4e-d34ef115d2bc.jpg?rect=0%2C40%2C770%2C404&w=1200&ar=40%3A21&auto=format%2Ccompress&ogImage=true&mode=crop&overlay=&overlay_position=bottom&overlay_width_pct=1
2023-12-09,prothomalo,https://www.prothomalo.com/bangladesh/capital/wbur96181k,নেত্রকোনায় উদীচী কার্যালয়ে বোমা হামলায় নিহতদের স্মরণ,২০০৫ সালের এই দিনে নেত্রকোনায় উগ্রবাদী সন্ত্রাসীদের হামলায় প্রাণ হারান উদীচী নেত্রকোনা জেলা সংসদের দুই নেতা।,Remembering those killed in the bomb attack at Udichi office in Netrakona,"On this day in 2005, two leaders of the Udichi Netrokona District Parliament lost their lives in an attack by extremist terrorists in Netrokona.",World,https://images.prothomalo.com/prothomalo-bangla%2F2023-12%2Fb10d133c-1076-46d2-b2c8-869cc9a9be2c%2Fudichi.jpeg?rect=0%2C75%2C2048%2C1075&w=1200&ar=40%3A21&auto=format%2Ccompress&ogImage=true&mode=crop&overlay=&overlay_position=bottom&overlay_width_pct=1
2023-12-09,prothomalo,https://www.prothomalo.com/world/middle-east/j3hu971phv,"মৃত্যুর বিভীষিকা চলছেই, ২৪ ঘণ্টায়
নিহত ৩৫০",গতকাল শুক্রবার গাজাবাসীর এ হাহাকার আরও বেড়েছে। ইসরায়েলি বাহিনী এদিন উপত্যকাটিতে ৪৫০টির বেশি লক্ষ্যবস্তুতে হামলা চালিয়েছে।,"The horror of death continues, in 24 hours
350 killed",The cries of the Gazans increased on Friday. Israeli forces attacked more than 450 targets in the valley that day.,Entertainment,https://images.prothomalo.com/prothomalo-bangla%2F2023-12%2Fcc212d79-0a91-466b-a5f2-2ec3b1e328fa%2F7973deac-7b1f-4c4f-8630-9c245efb72c4.PNG?rect=0%2C74%2C1182%2C621&w=1200&ar=40%3A21&auto=format%2Ccompress&ogImage=true&mode=crop&overlay=&overlay_position=bottom&overlay_width_pct=1
2023-12-09,prothomalo,https://www.prothomalo.com/bangladesh/qenmtjhavp,"তাদের পরবর্তী পরিকল্পনা
দেশে দুর্ভিক্ষ ঘটানো","বিএনপি যাতে জ্বালাও-পোড়াও না করতে পারে, সে জন্য আওয়ামী লীগের নেতা-কর্মীদের সজাগ থাকতে বলেছেন প্রধানমন্ত্রী শেখ হাসিনা।","Their next plan
causing famine in the country",Prime Minister Sheikh Hasina has asked Awami League leaders and workers to be vigilant so that BNP does not incite fire.,Education,https://images.prothomalo.com/prothomalo-bangla%2F2023-10%2F76daa49b-51e3-43f8-a5e3-209927b1d7eb%2FUntitled_1k.jpg?rect=0%2C0%2C1778%2C933&w=1200&ar=40%3A21&auto=format%2Ccompress&ogImage=true&mode=crop&overlay=&overlay_position=bottom&overlay_width_pct=1
2023-12-09,prothomalo,https://www.prothomalo.com/world/e1jgumg19d,১৩ দেশের ৩৭ ব্যক্তির ওপর মার্কিন নিষেধাজ্ঞা ও ভিসা বিধিনিষেধ,মানবাধিকারবিষয়ক জাতিসংঘের সর্বজনীন ঘোষণার ৭৫ বছর পূর্তি সামনে রেখে স্থানীয় সময় শুক্রবার এ ঘোষণা দিয়েছে যুক্তরাষ্ট্র প্রশাসন।,US sanctions and visa restrictions on 37 individuals from 13 countries,The United States administration made this announcement on Friday local time ahead of the 75th anniversary of the United Nations Universal Declaration of Human Rights.,Environment,https://images.prothomalo.com/prothomalo-bangla%2F2023-10%2F334cc5a6-e8aa-40db-b875-84e263eebe6c%2FState_Department.jpg?rect=0%2C23%2C1200%2C630&w=1200&ar=40%3A21&auto=format%2Ccompress&ogImage=true&mode=crop&overlay=https%3A%2F%2Fimages.prothomalo.com%2Fprothomalo-bangla%2F2022-01%2F5a36c819-05a2-4bfb-ac50-57dd67355acb%2FBanner_7814X143.jpg&overlay_position=bottom&overlay_width_pct=1
2023-12-09,prothomalo,https://www.prothomalo.com/sports/cricket/kk62twn5xm,সিরিজ জিততে পারল না বাংলাদেশ,দক্ষিণ আফ্রিকার এই জয়ে তিনি ম্যাচের সিরিজ শেষ হয়েছে ১-১ সমতায়।,Bangladesh could not win the series,South Africa's win ended the series at 1-1.,World,https://images.prothomalo.com/prothomalo-bangla%2F2023-12%2Fa9eb5abc-f7a7-4b08-8080-78cf17f7eeb9%2FShorna_of_BD_player_reacts_after_she_taking_Muneeba_Ali_wicket_During_3rd_Odi_match_1.jpg?rect=0%2C0%2C5472%2C2873&w=1200&ar=40%3A21&auto=format%2Ccompress&ogImage=true&mode=crop&overlay=https%3A%2F%2Fimages.prothomalo.com%2Fprothomalo-bangla%2F2023-10%2Fae7d5c90-d7c9-4623-8d67-1fff8bde16af%2FGPI_2_7814X543.jpg&overlay_position=bottom&overlay_width_pct=1
2023-12-09,prothomalo,https://www.prothomalo.com/sports/cricket/a82bqd2zsj,ভারত বিশ্বকাপ ফাইনালের পিচকে ‘গড়পড়তা’ রেটিং আইসিসির,সব মিলিয়ে বিশ্বকাপের পাঁচ ভেন্যুর আটটি ম্যাচের উইকেট ‘গড়পড়তা’ রেটিং পেয়েছে।,ICC rated India's World Cup final pitch as 'average',"In all, wickets from eight matches across five World Cup venues received an 'average' rating.",Politics,https://images.prothomalo.com/prothomalo-bangla%2F2023-11%2F4520da29-d820-4eb4-9ac3-09788bc6ce89%2F968745_01_02.jpg?rect=0%2C0%2C2497%2C1311&w=1200&ar=40%3A21&auto=format%2Ccompress&ogImage=true&mode=crop&overlay=https%3A%2F%2Fimages.prothomalo.com%2Fprothomalo-bangla%2F2023-10%2Fae7d5c90-d7c9-4623-8d67-1fff8bde16af%2FGPI_2_7814X543.jpg&overlay_position=bottom&overlay_width_pct=1
2023-12-09,haal,https://www.haal.fashion/arrangement/event/jb9dla6fkr,আলোকিতে পপটোক: ঢাকা ফ্লি ফেয়ারে থ্রিফট পণ্যের মেলা,অনলাইন থ্রিফট স্টোর পপ ট্যাগস টুডে আর টোকাইয়ের উদ্যোগে রাজধানীর আলোকি কনভেনশন সেন্টারে অনুষ্ঠিত হলো ‘পপটোক ঢাকা ফ্লি ফেয়ার’।,Poptalk in lights: Thrift goods fair at Dhaka Flea Fair,The 'PopTok Dhaka Flea Fair' was held at Aloki Convention Center in the capital under the initiative of online thrift store Pop Tags Today and Tokai.,Education,https://images.prothomalo.com/prothomalo-bangla%2F2023-12%2F22451f95-1625-4fd7-946d-50187c3d621d%2Fpoptok2.jpg?overlay=https%3A%2F%2Fimages.prothomalo.com%2Fprothomalo-bangla%2F2023-10%2Fdf4c7d13-96dc-4875-b8bf-5aac7b6aa475%2FHaalfashion_gpi_sample3.png&overlay_position=bottom&overlay_opacity=1&w=1200&h=627&auto=format%2Ccompress&ogImage=true&overlay_width_pct=1
2023-12-09,prothomalo,https://www.prothomalo.com/bangladesh/euh893st66,"ঢাকায় শুরু হয়েছে ‘আমার শহর, আমার খাবার’ প্রদর্শনী","ঢাকায় শুরু হয়েছে ‘আমার শহর, আমার খাবার’ প্রদর্শনী। আজ শুক্রবার বাংলা একাডেমির নভেরা গ্যালারিতে এ প্রদর্শনীর উদ্বোধন করা হয়।","""My city, my food"" exhibition has started in Dhaka","""My city, my food"" exhibition has started in Dhaka. This exhibition was inaugurated at Novera Gallery of Bangla Academy on Friday.",Technology,https://images.prothomalo.com/prothomalo-bangla%2F2023-12%2Fbf12d413-7eda-433e-8894-7111093c44e0%2Ffao.JPG?rect=0%2C13%2C748%2C393&w=1200&ar=40%3A21&auto=format%2Ccompress&ogImage=true&mode=crop&overlay=&overlay_position=bottom&overlay_width_pct=1
